Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",587,2193,1993,448,274,81,6,87,246,237,153,6,583,25,14,6,36,25,10,0.224786753
2025,"BAL",578,2219,2006,484,324,89,8,63,232,218,167,3,528,26,19,2,46,44,14,0.241276171
2025,"BOS",618,2499,2239,573,363,125,8,77,311,299,220,13,589,24,11,5,31,56,13,0.25591782
2025,"CHW",646,2224,1988,440,299,90,3,48,210,203,198,1,513,13,14,7,34,47,11,0.221327967
2025,"CLE",605,2167,1923,450,301,82,6,61,237,224,190,9,470,23,23,8,34,44,14,0.23400936
2025,"DET",653,2352,2098,526,348,95,10,73,310,296,206,5,557,26,16,4,37,21,6,0.250714966
2025,"KCR",612,2243,2042,507,358,101,12,36,204,201,144,9,424,21,21,14,27,48,22,0.248285994
2025,"MIN",606,2246,2019,489,326,97,7,59,253,242,170,4,495,41,14,1,37,32,12,0.242199108
2025,"NYY",597,2300,2000,516,302,107,10,97,322,309,243,16,518,29,24,1,36,42,14,0.258
2025,"ATH",623,2358,2124,541,355,103,8,75,260,251,200,5,501,14,13,4,61,34,8,0.254708097
2025,"SEA",630,2275,2005,474,320,71,3,80,264,255,219,4,528,31,11,9,35,54,18,0.236408977
2025,"TBR",614,2221,2003,493,335,93,3,62,261,250,182,1,502,16,17,1,40,84,17,0.246130803
2025,"TEX",608,2159,1963,435,298,71,6,60,205,200,156,3,496,20,16,3,30,55,14,0.221599592
2025,"TOR",610,2281,2014,509,345,102,2,60,251,241,211,11,420,21,19,13,45,35,9,0.252730883
2025,"ARI",610,2315,2038,520,307,117,12,84,304,297,216,7,446,29,23,8,41,51,12,0.255152109
2025,"ATL",589,2236,2002,491,340,82,6,63,239,229,200,4,501,17,11,6,36,35,11,0.245254745
2025,"CHC",598,2355,2084,545,334,115,15,81,349,341,227,8,473,16,22,6,29,79,14,0.261516314
2025,"CIN",611,2330,2080,509,333,105,7,64,279,267,213,6,553,20,14,3,37,55,19,0.244711538
2025,"COL",621,2217,2016,437,279,90,15,53,193,191,162,5,591,20,12,7,39,30,14,0.216765873
2025,"MIA",606,2237,2009,498,341,98,8,51,238,228,186,5,486,15,14,13,36,47,19,0.247884519
2025,"HOU",580,2215,1991,502,354,81,6,61,242,231,173,6,457,28,15,8,49,30,13,0.252134605
2025,"LAD",620,2370,2092,558,344,105,9,100,352,339,233,13,505,20,21,3,47,40,12,0.266730401
2025,"MIL",634,2343,2075,492,344,88,5,55,279,256,214,8,505,25,14,14,28,81,19,0.237108433
2025,"WSN",577,2231,2001,488,315,103,10,60,268,255,175,2,467,31,14,10,36,56,20,0.24387806
2025,"NYM",622,2306,2023,496,310,104,13,69,269,260,219,13,469,38,22,3,54,46,8,0.245180425
2025,"PHI",596,2317,2054,528,361,92,9,66,289,274,221,6,473,22,15,5,36,56,11,0.257059396
2025,"PIT",609,2275,2026,458,330,75,10,43,194,188,209,10,533,23,9,5,55,59,15,0.226061204
2025,"STL",590,2286,2038,527,357,112,4,54,280,265,197,9,465,27,18,6,45,35,12,0.258586849
2025,"SDP",617,2191,1958,486,340,86,7,53,246,226,184,6,409,15,18,15,38,43,12,0.248212461
2025,"SFG",596,2271,2014,465,310,88,9,58,250,239,213,5,515,20,12,11,42,36,13,0.230883813
