Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",663,2482,2256,512,317,92,7,96,285,275,170,7,664,31,17,6,41,33,12,0.226950354
2025,"BAL",666,2507,2262,539,355,99,9,76,262,244,194,4,597,29,21,2,55,50,13,0.238284703
2025,"BOS",709,2777,2478,629,396,136,9,88,347,333,247,15,659,33,14,5,35,62,15,0.253833736
2025,"CHW",745,2556,2279,506,340,108,4,54,243,233,231,2,601,14,18,10,39,49,14,0.222027204
2025,"CLE",697,2491,2215,516,346,93,6,71,267,253,216,10,555,27,24,9,43,54,16,0.23295711
2025,"DET",747,2688,2408,608,402,110,13,83,346,332,228,7,627,28,18,4,41,26,6,0.252491694
2025,"KCR",707,2584,2356,591,418,113,14,46,235,231,167,10,477,22,23,15,37,54,23,0.250848896
2025,"MIN",698,2584,2320,566,375,111,8,72,292,280,205,4,562,42,15,1,47,34,13,0.243965517
2025,"NYY",686,2646,2309,595,355,120,11,109,367,353,275,18,595,31,25,2,44,52,16,0.25768731
2025,"ATH",709,2705,2438,621,406,121,8,86,305,296,230,5,585,16,14,4,65,39,8,0.254716981
2025,"SEA",727,2631,2332,569,385,91,4,89,298,289,243,5,604,33,13,10,41,66,19,0.243996569
2025,"TBR",706,2564,2309,570,387,107,3,73,308,294,208,3,579,21,20,4,44,96,20,0.246860112
2025,"TEX",699,2515,2282,519,350,87,6,76,258,252,187,4,562,24,18,3,34,62,17,0.227432077
2025,"TOR",699,2621,2329,594,402,119,3,70,296,285,228,12,469,22,22,16,53,38,11,0.255045083
2025,"ARI",703,2660,2336,595,354,127,14,100,351,344,254,9,526,31,26,12,49,53,15,0.254708904
2025,"ATL",684,2591,2314,569,392,96,6,75,285,274,233,7,590,22,15,7,42,37,12,0.245894554
2025,"CHC",691,2729,2434,623,384,128,15,96,380,372,250,8,557,17,22,6,31,85,15,0.255957271
2025,"CIN",693,2637,2351,578,377,117,7,77,316,304,243,7,618,22,15,6,41,59,21,0.245852828
2025,"COL",704,2530,2296,517,325,110,22,60,228,225,190,5,656,23,14,7,50,32,16,0.225174216
2025,"MIA",692,2538,2290,573,393,113,8,59,275,265,202,5,544,16,16,14,40,53,24,0.25021834
2025,"HOU",667,2553,2301,590,412,103,7,68,287,274,196,6,526,29,19,8,58,41,14,0.256410256
2025,"LAD",712,2718,2402,632,397,117,12,106,383,367,263,15,578,24,25,3,53,42,12,0.263114071
2025,"MIL",721,2658,2353,554,390,94,7,63,308,285,242,8,579,28,17,15,35,87,21,0.235444113
2025,"WSN",662,2539,2291,550,362,112,10,66,291,277,188,2,530,35,14,10,42,57,23,0.240069838
2025,"NYM",715,2673,2338,579,359,118,13,89,324,315,260,14,541,47,24,3,61,58,9,0.247647562
2025,"PHI",690,2638,2348,598,408,108,10,72,320,304,243,8,545,24,16,7,42,62,13,0.254684838
2025,"PIT",702,2629,2339,532,380,90,13,49,229,219,239,10,620,28,14,6,64,68,20,0.227447627
2025,"STL",691,2659,2373,605,414,124,4,63,318,303,223,10,546,35,20,8,52,39,13,0.254951538
2025,"SDP",709,2530,2261,557,394,96,10,57,280,257,214,6,479,17,20,17,43,52,13,0.246351172
2025,"SFG",684,2609,2302,537,353,105,11,68,300,286,249,5,593,23,22,12,45,42,15,0.233275412
