Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",458,1709,1557,345,206,65,5,69,192,186,118,6,462,20,10,3,29,21,7,0.221579961
2025,"BAL",463,1718,1552,357,232,63,7,55,175,166,132,2,420,22,12,1,36,26,10,0.230025773
2025,"BOS",483,1934,1731,438,276,92,8,62,239,229,168,10,449,21,10,4,21,50,13,0.253032928
2025,"CHW",522,1762,1584,342,240,64,1,37,159,154,149,1,413,11,10,5,28,39,7,0.21590909
2025,"CLE",483,1692,1500,349,234,61,3,51,183,172,149,6,363,18,18,7,26,36,12,0.232666666
2025,"DET",514,1874,1672,433,290,74,7,62,262,250,163,4,428,20,14,4,31,20,4,0.258971291
2025,"KCR",506,1830,1664,402,276,84,11,31,164,162,124,8,349,15,16,10,22,40,18,0.241586538
2025,"MIN",481,1752,1581,384,254,79,6,45,196,187,133,3,388,27,10,0,29,26,9,0.24288425
2025,"NYY",478,1846,1604,420,245,88,6,81,271,260,195,10,418,25,19,1,27,34,11,0.261845386
2025,"ATH",490,1846,1677,423,277,80,6,60,207,199,143,2,365,10,10,3,46,25,7,0.252236135
2025,"SEA",504,1817,1587,375,248,62,2,63,221,213,186,3,415,25,11,8,28,45,15,0.236294896
2025,"TBR",497,1777,1604,386,276,67,3,40,185,178,144,0,407,11,16,0,35,63,12,0.240648379
2025,"TEX",486,1740,1583,360,243,61,5,51,168,165,125,2,387,16,13,2,26,41,11,0.227416298
2025,"TOR",474,1763,1571,388,265,80,1,42,182,176,149,8,350,16,15,10,34,30,9,0.246976448
2025,"ARI",501,1902,1660,423,245,100,9,69,255,248,190,7,369,22,21,8,34,44,11,0.254819277
2025,"ATL",478,1819,1628,401,275,69,6,51,198,190,162,4,401,14,10,5,30,31,9,0.246314496
2025,"CHC",491,1937,1713,447,275,91,13,68,291,285,188,6,390,14,17,5,21,61,10,0.260945709
2025,"CIN",489,1880,1678,408,263,88,4,53,227,219,172,4,449,18,9,3,29,52,15,0.243146603
2025,"COL",491,1753,1585,344,215,74,13,42,159,158,137,5,473,16,10,5,33,23,9,0.2170347
2025,"MIA",477,1776,1602,397,267,77,8,45,196,188,141,5,401,13,11,9,23,42,16,0.24781523
2025,"HOU",460,1780,1590,392,276,69,5,42,191,182,152,5,371,19,11,8,36,24,12,0.24654088
2025,"LAD",498,1898,1673,449,274,86,9,80,281,270,187,9,400,17,17,3,36,34,9,0.268380155
2025,"MIL",506,1821,1608,370,261,64,5,40,208,188,169,6,399,20,11,12,24,63,14,0.230099502
2025,"WSN",473,1813,1622,392,260,74,7,51,212,200,146,1,391,24,12,9,27,49,17,0.241676942
2025,"NYM",493,1844,1618,397,249,85,11,52,213,204,178,6,373,28,17,2,44,36,6,0.245364647
2025,"PHI",474,1855,1646,434,300,76,8,50,232,222,179,6,377,14,12,4,32,41,9,0.263669501
2025,"PIT",497,1812,1611,348,256,52,7,33,143,140,169,8,426,19,8,4,47,51,11,0.216014897
2025,"STL",484,1888,1679,445,300,97,1,47,239,225,166,8,372,22,16,5,38,31,11,0.265038713
2025,"SDP",479,1709,1527,396,282,67,6,41,199,181,145,5,316,12,14,10,32,36,9,0.259332023
2025,"SFG",482,1826,1622,383,248,78,7,50,226,216,171,4,419,13,12,8,27,25,11,0.236128236
