Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",412,1506,1376,295,180,52,5,58,158,153,101,5,411,16,9,3,26,19,6,0.214389534
2025,"BAL",403,1490,1342,304,197,52,6,49,156,147,119,2,360,18,11,1,32,22,7,0.22652757
2025,"BOS",433,1759,1574,401,257,82,6,56,221,211,153,10,416,19,10,3,21,45,9,0.25476493
2025,"CHW",458,1560,1391,301,211,57,1,32,148,143,142,1,369,10,9,5,24,34,7,0.216391085
2025,"CLE",443,1574,1391,324,217,56,3,48,176,165,142,6,341,17,18,6,24,35,11,0.232925952
2025,"DET",462,1692,1504,393,267,63,7,56,244,232,152,4,388,18,13,4,28,19,3,0.261303191
2025,"KCR",455,1658,1502,363,251,75,8,29,154,153,117,7,316,14,15,9,22,38,14,0.241677762
2025,"MIN",431,1583,1424,341,226,70,5,40,178,170,125,3,354,24,9,0,26,25,9,0.239466292
2025,"NYY",438,1694,1476,388,224,82,6,76,250,241,173,9,392,25,17,1,25,32,10,0.262872628
2025,"ATH",427,1630,1483,387,255,69,6,57,194,187,125,2,326,7,10,3,40,19,6,0.260957518
2025,"SEA",448,1630,1420,339,225,56,2,56,201,193,168,3,372,24,10,8,24,45,13,0.238732394
2025,"TBR",436,1560,1401,338,240,60,3,35,162,155,134,0,358,9,15,0,32,48,12,0.241256245
2025,"TEX",440,1568,1425,332,226,56,4,46,154,151,114,2,340,15,11,2,26,34,10,0.232982456
2025,"TOR",422,1594,1418,356,245,75,1,35,168,162,135,7,314,16,15,8,28,27,9,0.251057827
2025,"ARI",451,1701,1483,374,218,88,7,61,222,217,173,6,335,19,17,8,32,36,11,0.252191503
2025,"ATL",430,1623,1455,349,237,62,6,44,170,162,143,4,366,13,7,5,23,28,8,0.239862542
2025,"CHC",438,1720,1523,380,232,75,10,63,244,240,168,3,353,12,12,5,20,50,10,0.24950755
2025,"CIN",433,1669,1480,350,230,73,3,44,201,194,161,4,398,18,7,3,23,48,14,0.236486486
2025,"COL",441,1567,1416,307,196,64,11,36,138,137,121,4,418,16,10,4,32,20,8,0.216807909
2025,"MIA",430,1593,1437,351,239,66,6,40,173,165,127,5,368,11,9,9,20,39,14,0.244258872
2025,"HOU",404,1562,1391,348,244,63,5,36,174,165,135,5,332,17,11,8,32,22,9,0.250179726
2025,"LAD",435,1653,1464,391,238,76,9,68,238,229,158,7,360,13,14,3,30,30,9,0.267076502
2025,"MIL",455,1643,1455,339,240,58,4,37,193,174,149,6,353,18,10,10,24,56,14,0.23298969
2025,"WSN",425,1625,1459,349,237,64,6,42,181,171,131,0,347,18,9,8,24,45,12,0.239204934
2025,"NYM",443,1666,1467,371,231,77,11,52,205,197,157,6,331,25,15,1,39,32,5,0.252897068
2025,"PHI",426,1657,1469,378,262,65,6,45,202,192,162,6,345,13,9,4,30,39,8,0.257317903
2025,"PIT",448,1643,1458,320,232,50,7,31,135,132,156,7,381,16,8,4,40,49,10,0.219478737
2025,"STL",435,1697,1502,394,265,85,1,43,212,200,159,8,340,19,13,4,35,31,10,0.26231691
2025,"SDP",440,1571,1395,368,261,63,5,39,196,178,140,5,286,11,14,10,28,34,9,0.263799283
2025,"SFG",431,1646,1463,346,224,71,5,46,209,199,153,3,381,12,12,6,24,25,10,0.236500341
