Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",412,1506,1376,295,180,52,5,58,158,153,101,5,411,16,9,3,26,19,6,0.214389534
2025,"BAL",412,1523,1372,310,201,54,6,49,156,147,120,2,366,20,11,1,34,22,7,0.225947521
2025,"BOS",433,1759,1574,401,257,82,6,56,221,211,153,10,416,19,10,3,21,45,9,0.25476493
2025,"CHW",468,1592,1422,305,214,58,1,32,149,144,143,1,375,10,9,5,24,34,7,0.214486638
2025,"CLE",443,1574,1391,324,217,56,3,48,176,165,142,6,341,17,18,6,24,35,11,0.232925952
2025,"DET",462,1692,1504,393,267,63,7,56,244,232,152,4,388,18,13,4,28,19,3,0.261303191
2025,"KCR",455,1658,1502,363,251,75,8,29,154,153,117,7,316,14,15,9,22,38,14,0.241677762
2025,"MIN",442,1619,1457,348,229,72,5,42,182,174,128,3,361,24,9,0,27,25,9,0.238846945
2025,"NYY",438,1694,1476,388,224,82,6,76,250,241,173,9,392,25,17,1,25,32,10,0.262872628
2025,"ATH",437,1661,1511,390,256,70,6,58,196,189,128,2,333,7,10,3,42,19,6,0.258107213
2025,"SEA",448,1630,1420,339,225,56,2,56,201,193,168,3,372,24,10,8,24,45,13,0.238732394
2025,"TBR",445,1600,1440,352,249,61,3,39,170,163,135,0,368,9,15,0,32,50,12,0.244444444
2025,"TEX",449,1595,1452,335,227,57,4,47,155,152,114,2,349,15,11,2,26,34,10,0.230716253
2025,"TOR",431,1628,1450,364,249,76,1,38,171,165,137,7,317,16,15,8,31,27,9,0.251034482
2025,"ARI",451,1701,1483,374,218,88,7,61,222,217,173,6,335,19,17,8,32,36,11,0.252191503
2025,"ATL",439,1659,1488,358,245,63,6,44,175,167,144,4,373,14,8,5,23,29,8,0.240591397
2025,"CHC",438,1720,1523,380,232,75,10,63,244,240,168,3,353,12,12,5,20,50,10,0.24950755
2025,"CIN",443,1706,1513,362,238,74,3,47,208,201,164,4,403,18,8,3,25,48,14,0.239259748
2025,"COL",441,1567,1416,307,196,64,11,36,138,137,121,4,418,16,10,4,32,20,8,0.216807909
2025,"MIA",430,1593,1437,351,239,66,6,40,173,165,127,5,368,11,9,9,20,39,14,0.244258872
2025,"HOU",413,1596,1423,353,248,64,5,36,174,165,137,5,339,17,11,8,32,22,9,0.248067463
2025,"LAD",447,1703,1504,409,249,78,9,73,257,248,166,7,366,13,16,3,30,32,9,0.271941489
2025,"MIL",455,1643,1455,339,240,58,4,37,193,174,149,6,353,18,10,10,24,56,14,0.23298969
2025,"WSN",434,1660,1490,355,240,66,6,43,183,172,134,0,353,19,9,8,27,46,12,0.238255033
2025,"NYM",443,1666,1467,371,231,77,11,52,205,197,157,6,331,25,15,1,39,32,5,0.252897068
2025,"PHI",426,1657,1469,378,262,65,6,45,202,192,162,6,345,13,9,4,30,39,8,0.257317903
2025,"PIT",448,1643,1458,320,232,50,7,31,135,132,156,7,381,16,8,4,40,49,10,0.219478737
2025,"STL",435,1697,1502,394,265,85,1,43,212,200,159,8,340,19,13,4,35,31,10,0.26231691
2025,"SDP",440,1571,1395,368,261,63,5,39,196,178,140,5,286,11,14,10,28,34,9,0.263799283
2025,"SFG",431,1646,1463,346,224,71,5,46,209,199,153,3,381,12,12,6,24,25,10,0.236500341
