Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",557,2080,1892,429,259,81,6,83,233,225,144,6,561,23,14,5,32,24,9,0.226744186
2025,"BAL",559,2148,1940,463,308,86,7,62,224,210,164,3,516,26,17,2,43,44,14,0.238659793
2025,"BOS",587,2378,2131,545,348,114,8,75,299,287,207,12,557,24,11,5,28,54,13,0.255748474
2025,"CHW",616,2116,1892,418,283,87,2,46,199,193,189,1,490,12,14,6,31,46,10,0.220930232
2025,"CLE",582,2096,1861,437,290,81,6,60,231,218,183,9,454,22,22,8,33,41,14,0.234819989
2025,"DET",621,2235,1992,498,331,91,8,68,295,282,195,5,530,26,16,4,35,21,5,0.25
2025,"KCR",594,2166,1969,485,340,99,12,34,194,191,141,9,415,21,21,13,26,47,21,0.246317927
2025,"MIN",577,2117,1909,457,303,91,7,56,232,222,157,4,467,37,12,1,37,31,11,0.239392352
2025,"NYY",578,2222,1934,500,290,106,10,94,312,300,233,16,501,27,24,1,36,39,12,0.25853154
2025,"ATH",593,2239,2024,516,339,96,7,74,249,240,187,5,468,11,11,3,60,28,8,0.254940711
2025,"SEA",611,2210,1942,461,310,70,3,78,261,252,217,4,509,31,11,9,33,53,18,0.23738414
2025,"TBR",594,2155,1944,483,328,92,3,60,256,247,175,1,484,16,17,1,39,82,16,0.24845679
2025,"TEX",588,2089,1902,422,290,67,6,59,196,191,150,3,478,20,14,2,30,52,14,0.221871713
2025,"TOR",588,2205,1947,491,334,98,2,57,240,230,204,11,407,20,19,13,44,35,9,0.252182845
2025,"ARI",592,2244,1975,506,300,115,12,79,293,286,208,7,434,29,23,8,40,50,11,0.256202531
2025,"ATL",570,2166,1936,480,332,81,6,61,235,226,196,4,482,17,11,6,36,34,11,0.247933884
2025,"CHC",579,2275,2016,526,322,111,14,79,334,326,219,7,458,15,19,6,29,74,12,0.260912698
2025,"CIN",581,2225,1986,489,320,101,7,61,270,258,204,5,526,20,12,3,35,55,19,0.246223564
2025,"COL",591,2109,1913,413,264,86,15,48,181,179,160,5,569,18,11,7,38,27,13,0.21589127
2025,"MIA",575,2121,1906,472,323,90,8,51,230,220,175,5,466,15,13,12,33,46,19,0.247639034
2025,"HOU",562,2150,1930,493,348,80,6,59,238,227,169,6,438,28,15,8,48,28,13,0.255440414
2025,"LAD",589,2256,1987,536,332,101,9,94,340,327,225,12,473,20,20,3,46,38,11,0.269753397
2025,"MIL",604,2235,1977,473,332,83,5,53,269,247,206,8,484,24,13,14,28,80,17,0.23925139
2025,"WSN",559,2161,1936,474,306,98,10,60,264,251,171,2,450,31,13,10,35,54,19,0.24483471
2025,"NYM",590,2192,1919,475,300,98,13,64,255,246,211,12,444,36,22,3,52,44,8,0.247524752
2025,"PHI",576,2237,1983,511,348,91,9,63,279,265,213,6,458,21,15,5,36,53,11,0.257690368
2025,"PIT",590,2206,1964,447,322,74,10,41,190,184,204,10,514,22,9,5,55,56,13,0.227596741
2025,"STL",570,2208,1968,510,345,109,4,52,272,258,189,9,451,27,18,6,44,35,11,0.259146341
2025,"SDP",582,2074,1857,462,322,81,7,52,236,216,174,6,386,13,16,13,37,42,11,0.248788368
2025,"SFG",565,2155,1915,446,295,86,9,56,244,233,200,4,493,18,12,9,37,30,13,0.232898172
