Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",487,1831,1661,378,223,72,6,77,219,211,128,6,490,23,13,4,30,23,7,0.22757375
2025,"BAL",483,1811,1637,385,253,69,7,56,188,179,137,2,441,23,14,1,36,27,11,0.235186316
2025,"BOS",502,2022,1807,464,292,99,8,65,259,249,178,10,472,22,11,4,23,50,13,0.256779192
2025,"CHW",543,1833,1649,358,252,65,1,40,168,163,154,1,431,11,11,5,30,41,7,0.217101273
2025,"CLE",513,1834,1625,379,252,68,5,54,202,190,162,6,391,19,21,7,27,37,13,0.233230769
2025,"DET",550,1983,1767,451,302,79,7,63,268,256,173,4,456,22,16,4,31,20,4,0.255234861
2025,"KCR",524,1910,1737,426,294,89,11,32,173,171,125,8,360,18,18,11,23,42,18,0.245250431
2025,"MIN",503,1847,1663,401,264,83,7,47,204,195,142,4,411,29,11,1,30,27,10,0.241130487
2025,"NYY",507,1943,1692,435,253,89,8,85,278,267,203,10,442,25,19,1,29,35,11,0.257092198
2025,"ATH",520,1971,1782,451,297,83,6,65,220,212,162,2,390,10,11,3,50,26,7,0.253086419
2025,"SEA",538,1939,1693,402,265,65,2,70,234,226,200,3,448,27,11,8,30,47,15,0.237448316
2025,"TBR",517,1850,1669,403,283,71,3,46,196,189,152,0,422,11,16,0,35,68,14,0.241461953
2025,"TEX",519,1845,1679,377,254,64,5,54,172,169,133,2,417,17,13,2,26,45,12,0.224538415
2025,"TOR",506,1896,1681,418,287,85,2,44,204,195,167,9,369,19,16,11,37,32,9,0.248661511
2025,"ARI",524,1974,1728,438,256,101,9,72,259,252,193,7,385,23,21,8,35,44,11,0.253472222
2025,"ATL",500,1897,1699,417,287,70,6,54,206,198,169,4,419,14,10,5,31,33,9,0.245438493
2025,"CHC",509,2017,1787,468,285,97,13,73,306,299,194,6,405,14,17,5,21,63,10,0.261891438
2025,"CIN",512,1957,1746,425,274,93,5,53,234,224,180,4,463,19,9,3,30,52,17,0.243413516
2025,"COL",521,1863,1686,370,232,81,14,43,167,166,145,5,498,16,10,6,33,26,10,0.219454329
2025,"MIA",500,1856,1672,417,284,79,8,46,201,193,151,5,412,13,11,9,26,43,17,0.249401913
2025,"HOU",488,1896,1693,423,299,70,6,48,207,198,157,5,392,25,13,8,39,24,13,0.249852333
2025,"LAD",518,1982,1746,464,287,87,9,81,291,280,195,10,420,19,18,3,37,34,10,0.265750286
2025,"MIL",536,1947,1721,398,282,66,5,45,225,205,181,7,428,20,11,13,25,68,15,0.231260894
2025,"WSN",493,1890,1690,409,271,79,8,51,220,208,153,1,400,25,12,10,29,51,17,0.242011834
2025,"NYM",514,1936,1695,414,261,87,12,54,223,214,189,9,392,29,19,3,46,39,6,0.244247787
2025,"PHI",504,1970,1749,458,315,81,8,54,247,235,188,6,398,16,13,4,32,48,9,0.261863922
2025,"PIT",525,1933,1713,378,276,59,7,36,157,152,185,9,447,20,9,4,49,52,13,0.220665499
2025,"STL",503,1952,1735,454,308,97,2,47,244,230,171,9,386,24,16,6,41,32,11,0.261671469
2025,"SDP",511,1818,1629,415,292,71,7,45,207,189,151,5,345,12,14,11,33,37,11,0.254757519
2025,"SFG",500,1904,1687,398,259,79,7,53,234,223,183,4,439,14,12,8,29,25,12,0.235921754
