Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",312,1143,1053,227,139,41,3,44,116,114,68,4,306,12,7,2,22,17,4,0.215574548
2025,"BAL",315,1149,1034,232,153,37,4,38,123,115,91,1,276,16,9,0,25,18,6,0.224371373
2025,"BOS",337,1370,1216,311,196,69,5,41,175,166,131,9,322,14,8,1,17,42,7,0.255756578
2025,"CHW",355,1209,1071,230,161,42,1,26,119,116,115,1,282,8,8,4,18,23,7,0.214752567
2025,"CLE",340,1202,1068,246,164,42,2,38,126,119,101,5,268,12,16,5,17,24,8,0.230337078
2025,"DET",354,1289,1142,286,192,44,6,44,166,161,121,3,304,12,9,4,17,15,2,0.250437828
2025,"KCR",345,1239,1117,258,179,57,4,18,109,109,91,5,241,12,13,5,14,26,13,0.230975828
2025,"MIN",342,1254,1126,265,174,60,4,27,128,122,98,1,270,21,8,0,21,20,7,0.235346358
2025,"NYY",329,1278,1121,294,175,58,5,56,182,176,128,5,304,18,10,0,18,23,10,0.262265834
2025,"ATH",333,1275,1157,293,192,51,5,45,147,140,104,0,252,3,8,2,32,11,5,0.25324114
2025,"SEA",338,1255,1083,269,175,43,2,49,167,159,139,3,274,20,7,6,18,37,12,0.248384118
2025,"TBR",343,1219,1097,263,182,51,3,27,124,119,104,0,274,8,10,0,28,39,6,0.239744758
2025,"TEX",340,1187,1090,244,164,46,3,31,105,103,78,2,267,9,7,2,21,28,8,0.223853211
2025,"TOR",334,1232,1095,261,182,55,1,23,116,111,105,4,239,14,11,5,23,23,8,0.238356164
2025,"ARI",339,1276,1110,272,156,67,6,43,165,160,131,4,255,13,15,6,22,28,6,0.245045045
2025,"ATL",314,1207,1081,261,174,47,3,37,131,125,112,0,274,8,4,2,21,20,4,0.241443108
2025,"CHC",339,1361,1201,318,194,63,9,52,208,204,135,3,272,10,10,5,13,44,6,0.26477935
2025,"CIN",333,1296,1148,288,195,54,3,36,175,168,124,3,286,15,7,2,18,37,12,0.25087108
2025,"COL",335,1199,1082,224,142,49,6,27,103,102,94,3,336,13,6,4,19,16,6,0.207024029
2025,"MIA",325,1225,1103,277,188,56,3,30,145,137,96,4,285,10,8,8,15,26,10,0.251133272
2025,"HOU",309,1189,1062,256,181,43,4,28,128,121,101,5,259,12,9,5,23,21,7,0.241054613
2025,"LAD",327,1253,1103,283,172,52,6,53,179,172,125,3,273,12,11,1,24,23,6,0.256572982
2025,"MIL",354,1286,1133,271,195,44,4,28,161,143,118,5,269,16,10,9,20,40,10,0.239187996
2025,"WSN",328,1261,1130,271,184,46,6,35,147,138,104,0,275,13,7,7,16,36,10,0.239823008
2025,"NYM",330,1254,1107,277,169,62,8,38,159,152,117,6,247,18,12,0,25,19,5,0.250225835
2025,"PHI",323,1262,1112,280,193,50,6,31,150,140,129,6,258,12,7,2,24,30,6,0.251798561
2025,"PIT",343,1273,1126,251,180,41,5,25,114,112,125,5,287,14,7,1,34,39,7,0.222912966
2025,"STL",330,1271,1135,291,195,65,1,30,150,141,116,8,254,10,7,3,29,27,7,0.256387665
2025,"SDP",335,1169,1040,269,191,47,3,28,129,118,101,4,219,9,9,9,22,29,9,0.258653846
2025,"SFG",330,1257,1114,253,158,55,5,35,155,146,125,2,291,7,7,4,16,21,8,0.227109515
