Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-30,Boston Red Sox,Toronto Blue Jays,4.0
2025-05-01,Milwaukee Brewers,Chicago White Sox,1.0
2025-05-01,St. Louis Cardinals,Cincinnati Reds,5.0
2025-05-01,Minnesota Twins,Cleveland Guardians,2.0
2025-05-01,Detroit Tigers,Los Angeles Angels,6.0
2025-05-01,Arizona Diamondbacks,New York Mets,2.0
2025-05-01,Washington Nationals,Philadelphia Phillies,1.0
2025-05-01,Chicago Cubs,Pittsburgh Pirates,5.0
2025-05-01,Colorado Rockies,San Francisco Giants,2.0
2025-05-01,Kansas City Royals,Tampa Bay Rays,5.0
2025-05-01,Athletics,Texas Rangers,1.0
2025-05-01,Boston Red Sox,Toronto Blue Jays,2.0
2025-05-02,Los Angeles Dodgers,Atlanta Braves,1.0
2025-05-02,Kansas City Royals,Baltimore Orioles,0.0
2025-05-02,Minnesota Twins,Boston Red Sox,2.0
2025-05-02,Houston Astros,Chicago White Sox,5.0
2025-05-02,Washington Nationals,Cincinnati Reds,6.0
2025-05-02,Detroit Tigers,Los Angeles Angels,1.0
2025-05-02,Athletics,Miami Marlins,6.0
2025-05-02,Chicago Cubs,Milwaukee Brewers,9.0
2025-05-02,Tampa Bay Rays,New York Yankees,3.0
2025-05-02,Arizona Diamondbacks,Philadelphia Phillies,2.0
2025-05-02,San Diego Padres,Pittsburgh Pirates,8.0
2025-05-02,Colorado Rockies,San Francisco Giants,4.0
2025-05-02,New York Mets,St. Louis Cardinals,9.0
2025-05-02,Seattle Mariners,Texas Rangers,8.0
2025-05-02,Cleveland Guardians,Toronto Blue Jays,5.0
2025-05-03,Los Angeles Dodgers,Atlanta Braves,10.0
2025-05-03,Kansas City Royals,Baltimore Orioles,2.0
2025-05-03,Minnesota Twins,Boston Red Sox,2.0
2025-05-03,Houston Astros,Chicago White Sox,6.0
2025-05-03,Washington Nationals,Cincinnati Reds,6.0
2025-05-03,Detroit Tigers,Los Angeles Angels,1.0
2025-05-03,Athletics,Miami Marlins,8.0
2025-05-03,Chicago Cubs,Milwaukee Brewers,8.0
2025-05-03,Tampa Bay Rays,New York Yankees,3.0
2025-05-03,Arizona Diamondbacks,Philadelphia Phillies,7.0
2025-05-03,San Diego Padres,Pittsburgh Pirates,1.0
2025-05-03,Colorado Rockies,San Francisco Giants,1.0
2025-05-03,New York Mets,St. Louis Cardinals,0.0
2025-05-03,Seattle Mariners,Texas Rangers,2.0
2025-05-03,Cleveland Guardians,Toronto Blue Jays,3.0
2025-05-04,Los Angeles Dodgers,Atlanta Braves,5.0
2025-05-04,Kansas City Royals,Baltimore Orioles,9.0
2025-05-04,Minnesota Twins,Boston Red Sox,4.0
2025-05-04,Houston Astros,Chicago White Sox,7.0
2025-05-04,Washington Nationals,Cincinnati Reds,2.0
2025-05-04,Detroit Tigers,Los Angeles Angels,5.0
2025-05-04,Athletics,Miami Marlins,4.0
2025-05-04,Chicago Cubs,Milwaukee Brewers,0.0
2025-05-04,Tampa Bay Rays,New York Yankees,5.0
2025-05-04,Arizona Diamondbacks,Philadelphia Phillies,9.0
2025-05-04,San Diego Padres,Pittsburgh Pirates,4.0
2025-05-04,Colorado Rockies,San Francisco Giants,6.0
2025-05-04,New York Mets,St. Louis Cardinals,8.0
2025-05-04,New York Mets,St. Louis Cardinals,8.0
2025-05-04,Seattle Mariners,Texas Rangers,7.0
2025-05-04,Cleveland Guardians,Toronto Blue Jays,7.0
2025-05-05,New York Mets,Arizona Diamondbacks,3.0
2025-05-05,Seattle Mariners,Athletics,8.0
2025-05-05,Cincinnati Reds,Atlanta Braves,4.0
2025-05-05,San Francisco Giants,Chicago Cubs,6.0
2025-05-05,Chicago White Sox,Kansas City Royals,2.0
2025-05-05,Los Angeles Dodgers,Miami Marlins,5.0
2025-05-05,Houston Astros,Milwaukee Brewers,3.0
2025-05-05,San Diego Padres,New York Yankees,2.0
2025-05-05,Pittsburgh Pirates,St. Louis Cardinals,5.0
2025-05-05,Cleveland Guardians,Washington Nationals,0.0
2025-05-06,New York Mets,Arizona Diamondbacks,3.0
2025-05-06,Seattle Mariners,Athletics,4.0
2025-05-06,Cincinnati Reds,Atlanta Braves,0.0
2025-05-06,Texas Rangers,Boston Red Sox,6.0
2025-05-06,San Francisco Giants,Chicago Cubs,8.0
2025-05-06,Detroit Tigers,Colorado Rockies,0.0
2025-05-06,Chicago White Sox,Kansas City Royals,1.0
2025-05-06,Toronto Blue Jays,Los Angeles Angels,4.0
2025-05-06,Los Angeles Dodgers,Miami Marlins,3.0
2025-05-06,Houston Astros,Milwaukee Brewers,4.0
2025-05-06,Baltimore Orioles,Minnesota Twins,6.0
2025-05-06,San Diego Padres,New York Yankees,4.0
2025-05-06,Pittsburgh Pirates,St. Louis Cardinals,0.0
2025-05-06,Philadelphia Phillies,Tampa Bay Rays,5.0
2025-05-06,Cleveland Guardians,Washington Nationals,6.0
2025-05-06,Cleveland Guardians,Washington Nationals,0.0
2025-05-07,New York Mets,Arizona Diamondbacks,0.0
2025-05-07,Seattle Mariners,Athletics,6.0
2025-05-07,Cincinnati Reds,Atlanta Braves,5.0
2025-05-07,Texas Rangers,Boston Red Sox,5.0
2025-05-07,San Francisco Giants,Chicago Cubs,4.0
2025-05-07,Detroit Tigers,Colorado Rockies,12.0
2025-05-07,Chicago White Sox,Kansas City Royals,2.0
2025-05-07,Toronto Blue Jays,Los Angeles Angels,0.0
2025-05-07,Los Angeles Dodgers,Miami Marlins,0.0
2025-05-07,Houston Astros,Milwaukee Brewers,4.0
2025-05-07,Baltimore Orioles,Minnesota Twins,5.0
2025-05-07,San Diego Padres,New York Yankees,1.0
2025-05-07,Pittsburgh Pirates,St. Louis Cardinals,3.0
2025-05-07,Philadelphia Phillies,Tampa Bay Rays,6.0
2025-05-07,Cleveland Guardians,Washington Nationals,3.0
