Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,1.0
2025-04-04,New York Yankees,Pittsburgh Pirates,8.0
2025-04-04,Seattle Mariners,San Francisco Giants,11.0
2025-04-04,Tampa Bay Rays,Texas Rangers,4.0
2025-04-04,Arizona Diamondbacks,Washington Nationals,7.0
2025-04-05,Miami Marlins,Atlanta Braves,3.0
2025-04-05,St. Louis Cardinals,Boston Red Sox,0.0
2025-04-05,San Diego Padres,Chicago Cubs,4.0
2025-04-05,Athletics,Colorado Rockies,4.0
2025-04-05,Chicago White Sox,Detroit Tigers,9.0
2025-04-05,Baltimore Orioles,Kansas City Royals,2.0
2025-04-05,Cleveland Guardians,Los Angeles Angels,13.0
2025-04-05,Cincinnati Reds,Milwaukee Brewers,12.0
2025-04-05,Houston Astros,Minnesota Twins,7.0
2025-04-05,Toronto Blue Jays,New York Mets,1.0
2025-04-05,Los Angeles Dodgers,Philadelphia Phillies,3.0
2025-04-05,New York Yankees,Pittsburgh Pirates,12.0
2025-04-05,Seattle Mariners,San Francisco Giants,3.0
2025-04-05,Tampa Bay Rays,Texas Rangers,5.0
2025-04-05,Arizona Diamondbacks,Washington Nationals,4.0
2025-04-06,Miami Marlins,Atlanta Braves,0.0
2025-04-06,St. Louis Cardinals,Boston Red Sox,3.0
2025-04-06,St. Louis Cardinals,Boston Red Sox,13.0
2025-04-06,San Diego Padres,Chicago Cubs,13.0
2025-04-06,Athletics,Colorado Rockies,11.0
2025-04-06,Chicago White Sox,Detroit Tigers,4.0
2025-04-06,Baltimore Orioles,Kansas City Royals,4.0
2025-04-06,Cleveland Guardians,Los Angeles Angels,4.0
2025-04-06,Cincinnati Reds,Milwaukee Brewers,8.0
2025-04-06,Houston Astros,Minnesota Twins,11.0
2025-04-06,Toronto Blue Jays,New York Mets,3.0
2025-04-06,Los Angeles Dodgers,Philadelphia Phillies,10.0
2025-04-06,New York Yankees,Pittsburgh Pirates,5.0
