Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",381,1398,1279,276,170,48,5,53,144,140,91,5,377,15,9,3,23,19,6,0.215793588
2025,"BAL",382,1411,1271,289,186,51,6,46,147,138,111,2,343,18,11,1,31,20,7,0.227380015
2025,"BOS",402,1632,1459,370,235,79,6,50,205,195,144,10,378,17,9,3,19,45,9,0.253598355
2025,"CHW",437,1481,1318,282,200,52,1,29,139,134,137,1,352,10,9,4,24,32,7,0.213960546
2025,"CLE",410,1468,1300,304,203,54,2,45,164,153,129,5,315,15,18,6,22,30,10,0.233846153
2025,"DET",429,1564,1387,354,240,57,7,50,214,207,144,3,364,16,12,4,27,17,3,0.255227108
2025,"KCR",426,1545,1399,338,234,71,6,27,143,142,109,6,294,13,14,9,19,37,14,0.241601143
2025,"MIN",411,1502,1354,322,214,68,5,35,164,157,115,3,335,23,9,0,24,24,9,0.237813884
2025,"NYY",405,1566,1363,359,209,74,6,70,235,227,162,8,358,23,15,1,23,29,10,0.263389581
2025,"ATH",409,1551,1408,364,243,64,6,51,180,173,122,2,307,6,10,3,38,18,5,0.258522727
2025,"SEA",413,1521,1322,321,213,53,2,53,192,184,161,3,334,22,10,6,22,43,13,0.242813918
2025,"TBR",416,1483,1331,321,229,57,3,32,150,143,128,0,341,8,15,0,32,47,10,0.241172051
2025,"TEX",410,1462,1333,310,211,54,4,41,140,137,101,2,321,14,11,2,24,33,10,0.232558139
2025,"TOR",403,1520,1350,338,238,69,1,30,156,150,129,7,296,16,15,8,26,26,9,0.25037037
2025,"ARI",422,1579,1375,341,197,83,7,54,206,201,162,6,312,17,17,7,30,34,9,0.248
2025,"ATL",400,1511,1353,320,215,58,5,42,157,150,136,4,341,11,7,4,23,25,6,0.236511456
2025,"CHC",409,1617,1430,361,222,71,9,59,233,229,160,3,335,11,11,5,18,49,9,0.252447552
2025,"CIN",412,1597,1411,336,226,65,3,42,198,191,159,4,380,17,7,3,21,47,13,0.238128986
2025,"COL",406,1463,1321,289,182,62,11,34,133,132,113,4,389,15,10,4,29,18,7,0.218773656
2025,"MIA",399,1485,1336,329,226,65,4,34,164,156,120,5,340,11,9,9,18,38,14,0.246257485
2025,"HOU",375,1460,1297,322,228,56,5,33,163,155,129,5,309,16,10,8,28,22,7,0.248265227
2025,"LAD",414,1575,1395,370,227,70,9,64,228,219,150,6,348,13,14,2,28,30,9,0.265232974
2025,"MIL",423,1531,1354,316,225,52,4,35,184,165,139,6,326,17,10,10,23,51,12,0.23338257
2025,"WSN",394,1518,1360,325,220,59,6,40,171,162,125,0,328,16,9,8,20,43,11,0.238970588
2025,"NYM",413,1561,1375,350,215,73,11,51,199,191,146,6,309,24,14,1,36,30,5,0.254545454
2025,"PHI",393,1547,1367,352,243,61,6,42,191,181,154,6,321,13,9,4,30,37,8,0.257498171
2025,"PIT",418,1528,1355,298,217,47,6,28,127,124,145,7,353,16,8,3,38,45,10,0.219926199
2025,"STL",404,1577,1395,364,243,82,1,38,194,183,150,8,314,17,11,4,34,28,9,0.260931899
2025,"SDP",411,1460,1301,346,244,62,4,36,180,166,125,4,265,11,13,9,27,33,9,0.265949269
2025,"SFG",401,1524,1356,314,202,65,5,42,191,182,139,2,353,12,11,6,23,24,9,0.231563421
