Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",403,1474,1346,291,178,51,5,57,157,152,99,5,404,16,9,3,25,19,6,0.216196136
2025,"BAL",382,1411,1271,289,186,51,6,46,147,138,111,2,343,18,11,1,31,20,7,0.227380015
2025,"BOS",423,1720,1538,390,247,82,6,55,216,206,151,10,402,19,9,3,20,45,9,0.253576072
2025,"CHW",449,1521,1356,291,206,54,1,30,144,139,139,1,362,10,9,4,24,33,7,0.214601769
2025,"CLE",431,1538,1358,317,212,56,3,46,171,160,139,6,332,17,18,6,24,35,11,0.233431516
2025,"DET",451,1656,1470,383,261,60,7,55,238,227,151,4,381,18,12,4,27,18,3,0.260544217
2025,"KCR",445,1619,1467,355,247,73,7,28,151,150,113,6,306,14,15,9,22,37,14,0.241990456
2025,"MIN",411,1502,1354,322,214,68,5,35,164,157,115,3,335,23,9,0,24,24,9,0.237813884
2025,"NYY",426,1657,1441,379,220,79,6,74,247,238,171,9,380,25,17,1,24,32,10,0.263011797
2025,"ATH",418,1596,1451,382,253,67,6,56,191,184,123,2,318,7,10,3,40,18,6,0.263266712
2025,"SEA",437,1594,1388,333,220,55,2,56,199,191,166,3,357,22,10,8,23,43,13,0.239913544
2025,"TBR",426,1524,1367,331,235,58,3,35,161,154,132,0,349,9,15,0,32,47,11,0.242136064
2025,"TEX",431,1527,1391,321,218,55,4,44,146,143,107,2,335,15,11,2,25,34,10,0.23076923
2025,"TOR",413,1561,1386,348,239,74,1,34,165,159,134,7,307,16,15,8,27,27,9,0.251082251
2025,"ARI",441,1656,1446,361,210,86,7,58,214,209,167,6,329,18,17,7,32,35,10,0.249654218
2025,"ATL",418,1584,1420,341,232,60,5,44,166,159,140,4,357,12,7,5,23,26,8,0.240140845
2025,"CHC",429,1687,1492,375,229,74,10,62,243,239,166,3,344,12,12,5,19,50,10,0.251340482
2025,"CIN",423,1633,1445,341,227,68,3,43,199,192,160,4,392,18,7,3,22,48,14,0.235986159
2025,"COL",430,1531,1383,300,191,64,11,34,135,134,119,4,404,15,10,4,32,19,7,0.216919739
2025,"MIA",420,1556,1402,344,237,65,5,37,169,161,125,5,356,11,9,9,20,39,14,0.245363766
2025,"HOU",394,1531,1362,340,240,60,5,35,170,161,133,5,326,17,11,8,30,22,8,0.249632892
2025,"LAD",424,1611,1429,378,231,74,9,64,229,220,152,6,353,13,14,2,30,30,9,0.264520643
2025,"MIL",444,1600,1417,326,232,55,4,35,184,165,145,6,344,17,10,10,24,56,12,0.230063514
2025,"WSN",414,1588,1425,338,229,61,6,42,176,166,129,0,341,17,9,8,22,44,11,0.237192982
2025,"NYM",432,1631,1437,365,225,77,11,52,205,197,152,6,325,25,15,1,38,32,5,0.254001391
2025,"PHI",405,1584,1403,361,251,62,6,42,193,183,155,6,329,13,9,4,30,37,8,0.257305773
2025,"PIT",439,1606,1423,311,225,50,7,29,131,128,154,7,372,16,8,4,39,49,10,0.218552354
2025,"STL",414,1613,1427,369,245,83,1,40,197,186,153,8,324,18,11,4,34,28,9,0.258584442
2025,"SDP",431,1534,1363,361,256,62,5,38,191,173,135,4,278,11,14,10,28,33,9,0.264856933
2025,"SFG",419,1601,1426,335,216,69,5,45,202,192,146,3,369,12,11,6,24,25,10,0.234922861
