Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2025,"LAA",2375,0.069052631,0.26568421,0.259904912,0.225671918,0.287283481,0.405004633,0.692288114,0.179332715,0.271221532,252.4065750395889,-19.670860587990735,0.30290283226754794,91.66952026642043
2025,"BAL",2407,0.077274615,0.23805567,0.324607329,0.239871086,0.305070656,0.388581952,0.693652608,0.148710866,0.290967741,261.8216964814068,-13.921624594628806,0.30616584808390884,98.18980744068229
2025,"BOS",2723,0.090708777,0.233565919,0.388364779,0.258556701,0.333333333,0.428865979,0.762199312,0.170309278,0.315084449,356.78710496838096,44.84316508884438,0.33404454441201054,109.4409493300181
2025,"CHW",2409,0.09090909,0.228725612,0.397459165,0.222843822,0.296450939,0.344522144,0.640973083,0.121678322,0.273076923,225.22529539920833,-50.74714351735563,0.2869645101327653,81.62597743292683
2025,"CLE",2388,0.087939698,0.221943048,0.396226415,0.233962264,0.307271963,0.376415094,0.683687057,0.14245283,0.277310924,252.78639020641256,-20.780311384602303,0.30216707638317447,94.2386286715983
2025,"DET",2535,0.085996055,0.234714003,0.366386554,0.250440917,0.321470937,0.406084656,0.727555593,0.155643739,0.305021698,305.2733133852037,14.866450515344981,0.3207505293370616,106.99630240083881
2025,"KCR",2439,0.063960639,0.186961869,0.342105263,0.252811515,0.30540652,0.372469635,0.677876155,0.11965812,0.296848137,250.36102731658428,-29.048179207907012,0.29829859264253633,85.80006156370824
2025,"MIN",2438,0.079983593,0.219852337,0.36380597,0.241758241,0.314039408,0.386904761,0.700944169,0.14514652,0.288847117,274.67525232230616,-4.619395281920936,0.31086557677113696,99.67502450768448
2025,"NYY",2492,0.105136436,0.226324237,0.464539007,0.259105578,0.343787696,0.465652374,0.80944007,0.206546796,0.299672131,361.5927238166589,76.11189451816271,0.35098215101121555,127.55249103607292
2025,"ATH",2588,0.085780525,0.214837712,0.399280575,0.255684255,0.322743122,0.416988416,0.739731538,0.161304161,0.301289566,321.05922936199164,24.58074371812794,0.3253349656968013,109.27607531112663
2025,"SEA",2510,0.092430278,0.233864541,0.395229982,0.239873987,0.3192,0.393339333,0.712539333,0.153465346,0.287084398,293.34326299310726,5.800373129854639,0.31625003487409237,108.9875625800177
2025,"TBR",2454,0.081499592,0.227383863,0.358422939,0.247170665,0.3125,0.39293798,0.70543798,0.145767315,0.297314178,277.66000519839804,-3.467585130056944,0.3115407656550651,103.40819960485132
2025,"TEX",2342,0.071733561,0.231853116,0.309392265,0.221284575,0.282720273,0.355836849,0.638557122,0.134552274,0.263636363,212.32795291925893,-55.969038339600715,0.28314671198731317,79.62176026422593
2025,"TOR",2505,0.088622754,0.18003992,0.492239467,0.253147482,0.324487334,0.398830935,0.723318269,0.145683453,0.287536231,297.6945293869009,10.724434124969513,0.3186402470174462,105.75688714335868
2025,"ARI",2550,0.096470588,0.197254901,0.489065606,0.252344796,0.331363278,0.442608307,0.773971585,0.190263511,0.283313325,341.81005389701204,49.68480722318968,0.3379246531715031,114.90856936955076
2025,"ATL",2474,0.09135004,0.225545675,0.405017921,0.242863615,0.317794892,0.386044404,0.703839296,0.143180789,0.29245283,281.0518734286757,-2.3668953050641726,0.3121709988369205,97.70215673388083
2025,"CHC",2581,0.092987214,0.202634637,0.458891013,0.256968641,0.328932038,0.44076655,0.769698588,0.183797909,0.293255131,342.10550391593495,46.42893071392095,0.3358618569457675,117.85429152819096
2025,"CIN",2526,0.093032462,0.23317498,0.398981324,0.246776345,0.321825396,0.400622498,0.722447894,0.153846153,0.300873907,301.24311432872065,11.867281741240067,0.31920306032483503,97.21678271004397
2025,"COL",2362,0.071972904,0.264182895,0.272435897,0.219432821,0.281528662,0.361692236,0.643220898,0.142259415,0.28080808,215.54725593928555,-55.04091372485894,0.28410963134562717,66.2810540882643
2025,"MIA",2420,0.080165289,0.216115702,0.370936902,0.247937671,0.312006647,0.380843263,0.69284991,0.132905592,0.300185299,264.0728582475444,-13.159728791926312,0.30659161060179996,92.38889608292236
2025,"HOU",2402,0.07701915,0.206494587,0.37298387,0.250462107,0.315789473,0.386321626,0.702111099,0.135859519,0.294626312,270.14515924680865,-5.025367227905687,0.31069739517354883,100.38619866341486
2025,"LAD",2606,0.095548733,0.212202609,0.450271247,0.266261925,0.340507302,0.460537727,0.801045029,0.194275802,0.305256869,370.4734441224917,71.93289791387163,0.34787003018010937,125.30703014544525
2025,"MIL",2528,0.09295886,0.215981012,0.43040293,0.235663082,0.313944223,0.359767025,0.673711248,0.124103943,0.284236153,264.40890000066884,-25.196050427340165,0.3009040351632497,90.71364160450999
2025,"WSN",2387,0.075408462,0.207792207,0.362903225,0.238715681,0.305555555,0.385760818,0.691316373,0.147045137,0.280548628,259.69728864856006,-13.7548540221906,0.30598916802571013,95.09565717432942
2025,"NYM",2522,0.096352101,0.201427438,0.478346456,0.249094202,0.332009531,0.423913043,0.755922574,0.174818841,0.284582571,324.8684104530652,35.95081354664172,0.3312453523801919,115.60037820959138
2025,"PHI",2526,0.092636579,0.204275534,0.453488372,0.252781486,0.327510917,0.396528704,0.724039621,0.143747218,0.297973778,303.4730666394641,14.09723405198352,0.32033585075456655,103.9414590947635
2025,"PIT",2489,0.091603053,0.235837685,0.388415672,0.22969314,0.30713422,0.341606498,0.648740718,0.111913358,0.290282131,240.31337168385565,-44.823780853847836,0.2905965640399196,81.56460583686336
