Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",440,1632,1485,326,196,60,5,65,181,175,115,5,440,18,10,3,28,19,7,0.219528619
2025,"BAL",442,1645,1485,343,222,62,6,53,169,160,126,2,398,22,12,1,35,24,9,0.23097643
2025,"BOS",464,1866,1672,425,270,88,7,60,234,224,161,10,437,20,10,3,21,49,12,0.254186602
2025,"CHW",500,1697,1522,330,231,61,1,37,157,152,146,1,397,11,10,5,27,37,7,0.216819973
2025,"CLE",474,1680,1488,346,232,60,3,51,182,171,149,6,360,18,18,7,26,36,12,0.232526881
2025,"DET",493,1804,1605,418,282,69,7,60,253,241,161,4,411,20,13,4,30,20,3,0.260436137
2025,"KCR",484,1761,1600,385,264,80,11,30,159,157,121,8,332,15,15,9,22,40,15,0.240625
2025,"MIN",472,1739,1569,380,251,78,6,45,194,185,132,3,385,27,10,0,28,26,9,0.242192479
2025,"NYY",469,1812,1574,411,239,87,6,79,266,255,192,10,412,25,18,1,26,33,10,0.26111817
2025,"ATH",468,1768,1608,404,265,75,6,58,199,192,138,2,353,7,10,3,43,21,6,0.251243781
2025,"SEA",481,1745,1523,363,240,59,2,62,216,208,179,3,404,24,11,8,26,45,13,0.23834537
2025,"TBR",472,1706,1541,373,268,63,3,39,179,172,139,0,393,10,15,0,33,57,12,0.242050616
2025,"TEX",477,1703,1548,352,239,59,4,50,166,163,123,2,373,16,13,2,26,41,10,0.22739018
2025,"TOR",465,1735,1546,385,264,80,1,40,179,173,147,8,343,16,15,9,34,29,9,0.249029754
2025,"ARI",480,1821,1586,405,235,98,8,64,243,236,184,6,351,22,20,8,34,43,11,0.255359394
2025,"ATL",468,1786,1596,394,272,66,6,50,195,187,161,4,397,14,10,5,28,31,9,0.246867167
2025,"CHC",470,1846,1629,414,252,84,13,65,270,264,182,5,374,14,16,5,20,59,10,0.254143646
2025,"CIN",471,1809,1611,391,255,80,3,53,220,212,169,4,434,18,8,3,27,52,14,0.242706393
2025,"COL",470,1682,1518,330,207,69,13,41,152,151,134,5,453,16,10,4,33,21,9,0.217391304
2025,"MIA",458,1705,1535,380,259,73,6,42,187,179,137,5,387,13,11,9,22,39,14,0.247557003
2025,"HOU",442,1706,1520,372,262,66,5,39,185,176,150,5,355,17,11,8,34,22,9,0.244736842
2025,"LAD",478,1821,1606,436,270,80,9,77,272,261,180,7,391,15,16,3,36,33,9,0.271481942
2025,"MIL",487,1744,1544,352,252,59,4,37,198,179,157,6,386,20,11,11,24,59,14,0.227979274
2025,"WSN",463,1778,1594,384,254,73,7,50,207,196,142,1,387,22,11,9,27,49,15,0.240903387
2025,"NYM",474,1776,1558,385,239,83,11,52,212,203,172,6,359,26,17,2,40,34,5,0.247111681
2025,"PHI",454,1764,1561,400,277,70,7,46,216,206,175,6,365,14,10,4,31,41,8,0.256245996
2025,"PIT",478,1745,1552,337,248,49,7,33,141,138,164,7,414,16,8,4,43,49,11,0.217139175
2025,"STL",462,1808,1607,421,284,91,1,45,224,211,161,8,359,21,14,5,38,31,10,0.261978842
2025,"SDP",468,1677,1496,391,278,66,6,41,199,181,144,5,308,12,14,10,31,36,9,0.261363636
2025,"SFG",462,1756,1559,369,238,75,6,50,222,212,165,4,404,12,12,8,24,25,11,0.236690186
