Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",615,2310,2097,477,287,91,7,92,268,258,162,6,604,28,15,6,37,28,11,0.227467811
2025,"BAL",619,2371,2138,513,340,94,9,70,250,234,184,3,564,27,21,2,50,45,14,0.239943872
2025,"BOS",654,2626,2344,605,384,131,9,81,338,326,234,13,615,29,14,5,35,57,13,0.258105802
2025,"CHW",688,2373,2114,474,321,99,3,51,228,218,214,2,540,13,18,10,38,47,13,0.224219489
2025,"CLE",648,2315,2058,480,322,87,6,65,246,233,202,9,516,24,23,8,37,47,15,0.233236151
2025,"DET",697,2499,2234,558,371,100,11,76,321,307,216,6,587,27,16,4,39,24,6,0.249776186
2025,"KCR",656,2398,2186,546,385,107,12,42,219,216,153,10,451,22,22,14,31,51,23,0.249771271
2025,"MIN",646,2395,2150,516,343,101,7,65,270,258,187,4,529,42,14,1,42,33,12,0.24
2025,"NYY",635,2450,2134,552,328,112,10,102,342,329,256,18,558,31,24,1,41,48,15,0.258669165
2025,"ATH",661,2519,2265,582,383,112,8,79,284,275,219,5,546,15,13,4,63,37,8,0.256953642
2025,"SEA",675,2424,2141,510,346,77,4,83,279,270,228,5,564,32,13,10,37,62,18,0.238206445
2025,"TBR",655,2371,2140,528,354,102,3,69,284,272,192,1,543,18,17,2,42,88,17,0.246728971
2025,"TEX",648,2303,2096,461,317,74,6,64,217,211,166,4,536,21,16,3,31,57,16,0.219942748
2025,"TOR",650,2426,2153,545,367,110,3,65,273,263,216,11,438,22,19,13,46,37,10,0.25313516
2025,"ARI",654,2468,2173,550,326,122,12,90,321,314,233,7,485,30,23,8,45,51,15,0.253106304
2025,"ATL",634,2394,2138,519,357,88,6,68,256,246,218,7,543,20,12,6,38,36,12,0.242750233
2025,"CHC",636,2506,2227,581,358,120,15,88,363,355,234,8,502,17,22,6,29,82,15,0.260889088
2025,"CIN",645,2449,2180,533,347,111,7,68,297,285,229,6,576,21,14,5,37,57,20,0.244495412
2025,"COL",651,2321,2115,462,291,98,18,55,199,197,166,5,616,20,13,7,43,30,15,0.218439716
2025,"MIA",640,2347,2115,527,358,107,8,54,254,244,189,5,507,16,14,13,39,49,21,0.249172576
2025,"HOU",617,2368,2130,535,378,86,6,65,259,247,185,6,487,29,16,8,52,35,13,0.251173708
2025,"LAD",661,2517,2228,592,371,111,9,101,360,345,243,14,537,21,21,3,51,42,12,0.265709156
2025,"MIL",665,2458,2171,517,364,89,5,59,292,269,227,8,522,26,16,15,31,84,19,0.238139106
2025,"WSN",614,2354,2118,507,329,106,10,62,273,260,178,2,485,33,14,10,37,57,22,0.23937677
2025,"NYM",664,2473,2165,533,334,109,13,77,292,283,237,14,498,43,24,3,57,52,8,0.246189376
2025,"PHI",640,2451,2181,549,374,98,9,68,296,281,228,6,507,22,15,5,37,58,11,0.251719394
2025,"PIT",646,2413,2148,487,349,80,12,46,206,199,222,10,569,24,11,5,59,61,17,0.226722532
2025,"STL",632,2434,2167,558,381,115,4,58,298,283,209,10,498,31,19,8,48,37,13,0.257498846
2025,"SDP",658,2342,2099,521,368,90,8,55,258,238,194,6,449,15,18,15,39,49,13,0.248213434
2025,"SFG",635,2408,2138,492,326,96,9,61,267,254,222,5,552,20,16,11,42,39,14,0.230121608
