Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",323,1180,1085,232,142,43,3,44,117,115,72,4,318,13,7,2,22,17,4,0.213824884
2025,"BAL",325,1189,1071,243,156,41,4,42,129,121,93,1,282,17,9,0,26,18,6,0.226890756
2025,"BOS",347,1407,1248,318,201,70,5,42,179,170,133,9,328,15,9,2,17,43,7,0.254807692
2025,"CHW",376,1276,1129,243,172,44,1,26,124,121,123,1,301,9,8,4,18,27,7,0.21523472
2025,"CLE",351,1244,1102,256,173,43,2,38,131,124,109,5,274,12,16,5,19,25,8,0.2323049
2025,"DET",366,1337,1183,302,203,46,6,47,179,174,125,3,312,15,9,4,19,15,2,0.255283178
2025,"KCR",365,1318,1190,282,191,62,4,25,123,123,97,5,254,12,13,5,15,31,13,0.236974789
2025,"MIN",352,1293,1162,274,181,61,4,28,133,127,101,1,280,21,8,0,21,20,8,0.235800344
2025,"NYY",350,1352,1183,308,185,60,5,58,190,184,139,5,317,18,11,0,22,25,10,0.260355029
2025,"ATH",355,1363,1232,316,210,54,6,46,157,150,111,2,265,5,10,3,34,14,5,0.256493506
2025,"SEA",360,1334,1151,281,186,44,2,49,174,166,149,3,288,20,8,6,20,39,12,0.244135534
2025,"TBR",352,1269,1141,279,196,52,3,28,131,126,109,0,286,8,10,0,28,41,6,0.244522348
2025,"TEX",349,1226,1123,256,175,46,4,31,113,111,82,2,274,10,8,2,22,28,9,0.227960819
2025,"TOR",345,1272,1128,268,187,57,1,23,120,115,108,4,244,16,12,6,23,24,8,0.237588652
2025,"ARI",360,1361,1183,292,171,71,6,44,180,175,141,4,274,14,16,6,25,31,7,0.246830092
2025,"ATL",332,1275,1143,276,184,49,3,40,139,133,117,0,285,9,4,2,21,22,5,0.241469816
2025,"CHC",359,1432,1266,332,204,65,9,54,217,213,140,3,288,10,11,5,15,46,7,0.262243285
2025,"CIN",352,1363,1206,294,200,54,3,37,176,169,133,3,305,15,7,2,19,38,12,0.243781094
2025,"COL",345,1237,1118,234,149,49,9,27,106,105,96,3,344,13,6,4,21,16,6,0.209302325
2025,"MIA",347,1298,1173,292,200,58,3,31,151,143,99,4,299,10,8,8,15,28,10,0.248934356
2025,"HOU",327,1257,1126,274,197,44,4,29,133,126,104,5,269,13,9,5,25,21,7,0.243339253
2025,"LAD",349,1329,1176,303,183,57,7,56,189,182,128,3,293,12,11,1,24,26,6,0.257653061
2025,"MIL",374,1354,1195,287,207,47,4,29,170,151,124,6,284,16,10,9,21,44,11,0.240167364
2025,"WSN",337,1299,1165,280,189,49,6,36,151,142,105,0,283,14,8,7,16,38,10,0.240343347
2025,"NYM",361,1377,1207,305,189,67,9,40,173,166,135,6,264,21,13,1,31,22,5,0.252692626
2025,"PHI",335,1310,1154,294,202,52,6,34,159,149,134,6,272,12,8,2,25,30,6,0.254766031
2025,"PIT",364,1346,1192,266,191,43,6,26,117,115,131,5,303,15,7,1,36,39,9,0.223154362
2025,"STL",358,1387,1235,322,216,70,1,35,167,158,127,8,273,14,8,3,30,27,7,0.260728744
2025,"SDP",356,1245,1107,285,202,51,3,29,137,126,110,4,233,9,9,9,24,32,9,0.257452574
2025,"SFG",349,1329,1183,273,172,58,5,38,166,157,126,2,308,9,7,4,18,22,8,0.23076923
