Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",393,1440,1313,283,173,50,5,55,153,148,98,5,393,16,9,3,23,19,6,0.215536938
2025,"BAL",382,1411,1271,289,186,51,6,46,147,138,111,2,343,18,11,1,31,20,7,0.227380015
2025,"BOS",414,1670,1491,376,239,79,6,52,207,197,149,10,387,18,9,3,20,45,9,0.252179745
2025,"CHW",437,1481,1318,282,200,52,1,29,139,134,137,1,352,10,9,4,24,32,7,0.213960546
2025,"CLE",422,1504,1330,310,208,55,2,45,169,158,135,6,325,15,18,6,22,35,10,0.233082706
2025,"DET",441,1611,1430,372,254,59,7,52,228,218,147,3,368,17,12,4,27,17,3,0.26013986
2025,"KCR",435,1587,1437,349,242,72,7,28,150,149,112,6,298,13,15,9,19,37,14,0.242867084
2025,"MIN",411,1502,1354,322,214,68,5,35,164,157,115,3,335,23,9,0,24,24,9,0.237813884
2025,"NYY",414,1614,1402,374,217,77,6,74,246,238,168,8,367,24,17,1,24,29,10,0.266761768
2025,"ATH",409,1551,1408,364,243,64,6,51,180,173,122,2,307,6,10,3,38,18,5,0.258522727
2025,"SEA",425,1557,1354,327,215,54,2,56,197,189,164,3,344,22,10,7,22,43,13,0.241506646
2025,"TBR",416,1483,1331,321,229,57,3,32,150,143,128,0,341,8,15,0,32,47,10,0.241172051
2025,"TEX",419,1491,1359,313,213,54,4,42,142,139,104,2,329,14,11,2,25,34,10,0.230316409
2025,"TOR",403,1520,1350,338,238,69,1,30,156,150,129,7,296,16,15,8,26,26,9,0.25037037
2025,"ARI",431,1614,1409,350,202,85,7,56,208,203,163,6,320,17,17,7,31,34,10,0.248403122
2025,"ATL",409,1548,1387,330,223,59,5,43,161,154,138,4,345,11,7,5,23,26,6,0.237923576
2025,"CHC",418,1651,1461,369,225,73,10,61,238,234,163,3,339,11,11,5,18,50,10,0.252566735
2025,"CIN",412,1597,1411,335,225,65,3,42,198,191,159,4,380,17,7,3,21,47,13,0.237420269
2025,"COL",418,1497,1352,295,187,63,11,34,134,133,116,4,396,15,10,4,31,18,7,0.218195266
2025,"MIA",410,1516,1365,335,231,65,4,35,165,157,122,5,347,11,9,9,20,38,14,0.245421245
2025,"HOU",384,1501,1333,333,236,59,5,33,168,159,132,5,316,17,11,8,30,22,7,0.249812453
2025,"LAD",414,1575,1395,370,227,70,9,64,228,219,150,6,348,13,14,2,28,30,9,0.265232974
2025,"MIL",433,1569,1387,323,230,54,4,35,184,165,144,6,334,17,10,10,24,54,12,0.232876712
2025,"WSN",405,1554,1393,333,225,61,6,41,174,164,127,0,336,17,9,8,22,44,11,0.239052404
2025,"NYM",423,1600,1408,359,221,76,11,51,203,195,150,6,317,25,15,1,38,31,5,0.25497159
2025,"PHI",405,1584,1403,361,251,62,6,42,193,183,155,6,329,13,9,4,30,37,8,0.257305773
2025,"PIT",429,1566,1388,305,222,48,6,29,130,127,149,7,361,16,8,4,39,46,10,0.219740634
2025,"STL",414,1613,1427,369,245,83,1,40,197,186,153,8,324,18,11,4,34,28,9,0.258584442
2025,"SDP",421,1497,1335,355,251,62,5,37,185,169,127,4,271,11,14,9,27,33,9,0.265917602
2025,"SFG",410,1558,1389,322,209,66,5,42,192,183,140,2,363,12,11,6,24,24,9,0.231821454
