Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",468,1751,1595,359,211,69,6,73,202,195,121,6,470,20,10,4,30,23,7,0.225078369
2025,"BAL",474,1768,1598,371,242,66,7,56,183,174,134,2,430,23,13,1,36,26,10,0.232165206
2025,"BOS",492,1969,1762,444,281,93,8,62,240,230,170,10,465,22,11,4,22,50,13,0.251986379
2025,"CHW",533,1799,1619,350,244,65,1,40,164,159,151,1,423,11,10,5,29,40,7,0.216182828
2025,"CLE",494,1756,1557,365,244,65,3,53,192,181,154,6,374,18,20,7,27,36,13,0.234425176
2025,"DET",526,1914,1702,440,295,76,7,62,267,255,169,4,435,22,16,4,31,20,4,0.258519388
2025,"KCR",515,1874,1704,418,288,87,11,32,172,170,124,8,354,16,18,11,22,41,18,0.245305164
2025,"MIN",494,1815,1632,395,261,82,7,45,201,192,141,4,400,29,11,1,29,27,10,0.242034313
2025,"NYY",488,1878,1633,425,247,88,7,83,275,264,198,10,428,25,19,1,27,34,11,0.260257195
2025,"ATH",499,1891,1716,434,285,80,6,63,212,204,149,2,373,10,10,3,47,26,7,0.252913752
2025,"SEA",515,1859,1622,382,251,63,2,66,227,219,191,3,423,27,11,8,28,47,15,0.235511713
2025,"TBR",506,1817,1638,395,280,68,3,44,193,186,150,0,415,11,16,0,35,67,13,0.241147741
2025,"TEX",497,1779,1619,370,250,61,5,54,171,168,127,2,398,17,13,2,26,43,12,0.228536133
2025,"TOR",485,1809,1611,402,274,83,1,44,196,189,152,8,357,18,15,11,34,31,9,0.24953445
2025,"ARI",512,1937,1693,430,251,100,9,70,256,249,191,7,380,23,21,8,35,44,11,0.253987005
2025,"ATL",478,1819,1628,401,275,69,6,51,198,190,162,4,401,14,10,5,30,31,9,0.246314496
2025,"CHC",500,1972,1746,455,280,93,13,69,293,286,190,6,398,14,17,5,21,63,10,0.260595647
2025,"CIN",500,1913,1707,412,266,89,4,53,228,220,175,4,457,19,9,3,29,52,16,0.241359109
2025,"COL",501,1793,1621,355,222,77,13,43,164,163,140,5,480,16,10,6,33,24,9,0.219000616
2025,"MIA",488,1811,1633,403,272,78,8,45,197,189,145,5,404,13,11,9,25,42,16,0.246785058
2025,"HOU",470,1815,1622,399,280,69,5,45,195,186,154,5,383,20,11,8,38,24,12,0.245992601
2025,"LAD",507,1928,1702,454,278,86,9,81,284,273,188,9,409,17,17,3,36,34,9,0.266745005
2025,"MIL",516,1863,1647,377,266,65,5,41,212,192,172,6,407,20,11,12,24,65,14,0.228901032
2025,"WSN",473,1813,1622,392,260,74,7,51,212,200,146,1,391,24,12,9,27,49,17,0.241676942
2025,"NYM",503,1884,1653,407,256,87,11,53,218,209,182,6,380,28,18,2,44,39,6,0.246218995
2025,"PHI",484,1899,1684,446,308,77,8,53,241,229,184,6,380,14,13,4,32,43,9,0.264845605
2025,"PIT",506,1847,1641,357,263,54,7,33,146,143,173,8,433,19,9,4,47,51,12,0.217550274
2025,"STL",494,1920,1710,450,305,97,1,47,240,226,167,8,381,23,16,5,39,31,11,0.263157894
2025,"SDP",490,1742,1560,401,284,69,7,41,199,181,145,5,326,12,14,10,32,36,9,0.257051282
2025,"SFG",491,1867,1657,391,252,79,7,53,230,220,177,4,426,13,12,8,27,25,11,0.235968617
