Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",597,2235,2030,460,279,86,7,88,255,246,157,6,591,25,15,6,37,25,10,0.226600985
2025,"BAL",599,2288,2068,494,329,90,9,66,239,224,174,3,547,26,19,2,48,44,14,0.238878143
2025,"BOS",630,2542,2273,585,373,126,8,78,322,310,225,13,595,26,13,5,33,56,13,0.257369115
2025,"CHW",668,2301,2052,458,313,94,3,48,217,210,206,2,525,13,17,9,38,47,12,0.223196881
2025,"CLE",626,2238,1991,465,311,85,6,63,241,228,193,9,492,23,23,8,36,47,14,0.233550979
2025,"DET",676,2433,2171,544,360,100,10,74,317,303,213,6,573,27,16,4,37,22,6,0.250575771
2025,"KCR",634,2327,2120,531,374,106,12,39,216,213,149,10,434,21,22,14,29,51,22,0.250471698
2025,"MIN",627,2320,2084,502,335,98,7,62,262,250,179,4,511,41,14,1,40,33,12,0.240882917
2025,"NYY",615,2370,2063,531,314,109,10,98,326,313,249,18,533,30,24,1,40,43,14,0.257392147
2025,"ATH",642,2440,2196,563,368,108,8,79,275,266,210,5,524,14,13,4,62,35,8,0.256375227
2025,"SEA",652,2345,2070,488,330,74,3,81,269,260,222,4,551,32,12,9,36,56,18,0.235748792
2025,"TBR",634,2291,2067,508,345,96,3,64,270,258,187,1,525,17,17,1,41,86,17,0.245766811
2025,"TEX",627,2233,2032,451,308,73,6,64,212,207,161,4,520,20,16,3,31,56,16,0.221948818
2025,"TOR",632,2351,2082,528,357,107,3,61,262,252,213,11,428,21,19,13,46,37,9,0.253602305
2025,"ARI",632,2397,2106,537,317,121,12,87,317,310,229,7,465,30,23,8,43,51,14,0.254985754
2025,"ATL",612,2313,2069,506,347,87,6,66,250,240,209,5,523,18,11,6,38,36,12,0.24456259
2025,"CHC",617,2437,2159,565,350,117,15,83,356,348,233,8,488,17,22,6,29,82,14,0.261695229
2025,"CIN",621,2365,2110,513,335,107,7,64,280,268,218,6,560,20,14,3,37,57,20,0.243127962
2025,"COL",630,2250,2047,443,280,94,16,53,196,194,163,5,599,20,13,7,40,30,14,0.216414264
2025,"MIA",618,2268,2039,503,344,100,8,51,240,230,186,5,492,16,14,13,37,48,19,0.246689553
2025,"HOU",598,2288,2060,519,365,85,6,63,250,239,176,6,476,28,16,8,50,33,13,0.251941747
2025,"LAD",640,2441,2157,573,355,108,9,101,359,345,238,14,522,21,21,3,49,40,12,0.265646731
2025,"MIL",644,2386,2114,505,353,89,5,58,288,265,216,8,512,25,14,15,28,82,19,0.238883632
2025,"WSN",596,2295,2061,500,322,107,10,61,271,258,177,2,474,32,14,10,36,57,21,0.242600679
2025,"NYM",642,2388,2090,511,319,105,13,74,280,271,230,14,483,41,23,3,55,49,8,0.244497607
2025,"PHI",617,2384,2117,538,368,94,9,67,291,276,225,6,489,22,15,5,37,56,11,0.254133207
2025,"PIT",628,2344,2087,471,340,78,10,43,199,192,215,10,556,24,10,5,58,61,15,0.225682798
2025,"STL",612,2365,2106,542,368,114,4,56,291,276,204,10,481,30,19,6,47,36,12,0.257359924
2025,"SDP",638,2266,2030,505,355,88,8,54,253,233,187,6,427,15,18,15,38,46,13,0.248768472
2025,"SFG",614,2339,2074,479,317,94,9,59,259,248,219,5,532,20,14,11,42,39,13,0.230954676
